       - [10100100, 101001018]#AKM突击步枪, AKM-甜心宝贝
       - [10100200, 101002020]#M16A4突击步枪, M16A4-葫芦兄弟
       - [10100300, 101003101]#SCAR-L突击步枪, SCAR-L-时空协奏
       - [10100400, 101004018]#M416突击步枪, M416-星际漫游
       - [10100500, 101005063]#GROZA突击步枪, GROZA-精灵之光
       - [10100600, 101006044]#AUG突击步枪, AUG-超新星
       - [10100700, 101007014]#QBZ突击步枪, QBZ-洛神天依
       - [10100800, 101008037]#M762突击步枪, M762-冷魅冰骑
       - [10100900, 101009012]#Mk47突击步枪, Mk47-极冰使者
       - [10101000, 101010003]#G36C突击步枪, G36C-雪国精灵
       - [10101100, 101011012]#AC-VAL突击步枪, AC-VAL-梦海之灵
       - [10101200, 101012008]#蜜獾突击步枪, 蜜獾-辉耀战甲
       - [10101300, 101013009]#FAMAS突击步枪, Famas-初号机 觉醒Ve
       - [10200100, 102001025]#UZI冲锋枪, UZI-绮梦青鸾
       - [10200200, 102002060]#UMP45冲锋枪, UMP45-宇宙意志
       - [10200300, 102003024]#Vector冲锋枪, Vector-环太平洋
       - [10200400, 102004032]#汤姆逊冲锋枪, 汤姆逊-冰川粉黛
       - [10200500, 102005025]#野牛冲锋枪, 野牛-沙丘之主
       - [10200700, 102007001]#MP5K冲锋枪, MP5K-甜蜜誓约
       - [10200800, 102008009]#AKS-74U冲锋枪, AKS-74U-QSL
       - [10210500, 102105035]#P90冲锋枪, P90-沙丘之主
       - [10300100, 103001082]#Kar98K狙击枪, Kar98K-创世·救赎
       - [10300200, 103002012]#M24狙击枪, M24-星之信仰
       - [10300300, 103003011]#AWM狙击枪, AWM-花间之火
       - [10300400, 103004025]#SKS射手步枪, SKS-碧影闪光
       - [10300500, 103005017]#VSS射手步枪, VSS-烈焰拳霸
       - [10300600, 103006016]#Mini14射手步枪, Mini14-龙虾霸霸
       - [10300700, 103007014]#Mk14射手步枪, Mk14-闲梦青缨
       - [10300800, 103008003]#Win94狙击枪, Win94-怪笑疯兔
       - [10300900, 103009011]#SLR射手步枪, SLR-月影鸳鸯
       - [10301000, 103010010]#QBU射手步枪, QBU-霓虹结构
       - [10301100, 103011008]#莫辛纳甘狙击枪, 莫辛纳甘-兔兔小魔女
       - [10301200, 103012015]#AMR狙击枪, AMR-鸢尾晶梦
       - [10301300, 103013005]#M417射手步枪, M417-第五大道
       - [10301400, 103014005]#MK20-H射手步枪, MK20-H-海螺星光
       - [10301500, 103015025]#M200狙击枪, M200-梦海之灵
       - [10310000, 103100002]#MK12射手步枪, MK12-游龙飞鱼
       - [10400100, 104001004]#S686霰弹枪, S686-奇异狩猎者
       - [10400200, 104002026]#S1897霰弹枪, S1897-魔法神域
       - [10400300, 104003014]#S12K霰弹枪, S12K-香水柠檬
       - [10400400, 104004015]#DBS霰弹枪, DBS-圣堂之誓
       - [10400500, 104005007]#AA12-G霰弹枪, AA12-G-精灵之光
       - [10410000, 104100007]#SPAS-12霰弹枪, SPAS-12-音爆索尼克
       - [10500100, 105001044]#M249轻机枪, M249-猪猪侠
       - [10500200, 105002050]#DP-28轻机枪, DP-28-圣堂之誓
       - [10501000, 105010004]#MG3轻机枪, MG3-洛神天依
       - [10501200, 105012016]#PKM轻机枪, PKM-江南烟雨
       - [10600100, 106001003]#P92手枪, P92-拳皇97
       - [10600200, 106002005]#P1911手枪, P1911-绮梦青鸾
       - [10600300, 106003005]#R1895手枪, R1895-绊爱
       - [10600400, 106004006]#P18C手枪, P18C-熔岩统帅
       - [10600500, 106005001]#R45手枪, R45-拳皇·狂花道
       - [10600600, 106006003]#短管霰弹枪, 短管霰弹-宇宙意志
       - [10600800, 106008008]#蝎式手枪, 蝎式手枪-金丰海韵
       - [10601000, 106010009]#沙漠之鹰手枪, 沙漠之鹰-未来领航者
       - [10601100, 106011004]#TMP-9手枪, TMP-9-江南烟雨
       - [10700100, 107001001]#十字弩, 十字弩-异瞳寒姬
       - [10700600, 107006001]#战术弩, 战术弩-江南烟雨
       - [10700700, 107007013]#爆炸猎弓, 爆炸猎弓-拳皇·狂花道
       - [10700800, 107008004]#燃点复合弓, 燃点复合弓-时空协奏
       - [10701000, 107010004]#突击盾牌, 突击盾牌-初号机 觉醒Ve
       - [10800100, 108001009]#大砍刀, 大砍刀-青龙偃月刀
       - [10800200, 108002015]#撬棍, 撬棍-沙丘之主权杖
       - [10800300, 108002020]#镰刀, 撬棍-朗基努斯之枪
       - [10800400, 108004048]#平底锅, 平底锅-林间仙鹿
       - [20100200, 200205721]#枪口补偿器(冲锋枪), UMP45-宇宙意志(枪口补
       - [20100300, 301502223]#枪口补偿器(狙击枪), M200-梦海之灵(枪口补偿
       - [20100400, 200205723]#消焰器(冲锋枪), UMP45-宇宙意志(消焰器
       - [20100500, 301502224]#消焰器(狙击枪), M200-梦海之灵(消焰器)
       - [20100600, 200205722]#消音器(冲锋枪,手枪), UMP45-宇宙意志(消音器
       - [20100700, 301502225]#消音器(狙击枪), M200-梦海之灵(消音器)
       - [20100900, 801141]#枪口补偿器(步枪), 枪械挂件——M416-墨龙��
       - [20101000, 801150]#消焰器(步枪), 枪械挂件——AKM-魔法神
       - [20101100, 1004026]#消音器(步枪), ELQS-检视动画
       - [20200100, 905514]#直角前握把, 沙丘之主-击杀击中特效
       - [20200200, 905518]#垂直握把, 墨龙九天-击杀击中特效
       - [20200400, 905515]#轻型握把, 星梦奇缘-击杀击中特效
       - [20200500, 905516]#半截式握把, 电糖天使-击杀击中特效
       - [20200600, 905517]#拇指握把, 镜域双华-击杀击中特效
       - [20200700, 905511]#激光瞄准器, 万古烈焰-击杀击中特效
       - [20300100, 100408611]#红点瞄准镜, M416-超新星(红点瞄准镜
       - [20300200, 100408612]#全息瞄准镜, M416-超新星(全息瞄准镜
       - [20300300, 100408613]#2倍 瞄准镜, M416-超新星(2倍瞄准镜
       - [20300400, 100408615]#4倍 瞄准镜, M416-超新星(4倍瞄准镜
       - [20300500, 301502217]#8倍 瞄准镜, M200-梦海之灵(8倍瞄准
       - [20300800, 100401803]#M416机械瞄具, M416-星际漫游(机瞄)
       - [20300900, 100604403]#AUG机械瞄具, AUG-超新星(机瞄)
       - [20301000, 200302403]#Vector机械瞄具, Vector-环太平洋(机瞄
